PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),PM 2.5 ( µg/m3 ),kalite
45.7,14.72,12.94,21.91,5.64,1
64.56,11.07,14.74,29.08,10.02,0
64.15,18.07,16.04,27.26,14.06,0
51.72,9.75,11.73,19.23,5.79,0
 56.04,13.47,16.38,26.99,9.48,0
80.63,22.86,17.32,29.65,19.02,0
76.45,14.92,14.09,22.91,10.55,0
50.96,10.9,15.44,25.46,7.63,0
61.12,18.16,16.48,26.07,12.1,0
71.94,39.52,17.73,25.9,21.86,0
75.53,13.58,14.53,24.76,17.8,0
85.85,10.37,12.07,20.64,12.24,0
63,7.71,8.88,15.91,7.13,0
50.23,22.25,9.35,13.65,20.28,1
66.59,20.52,12.6,17.73,25.75,0
59.5,16.57,12.39,22.1,19.76,0
46.61,19.45,13.33,20.48,35.88,0
44.53,9.73,8.7,11.86,5.75,1
35.93,12.6,9.93,14.36,11.06,1
55.91,17.72,14.37,23.64,11.8,0
55.76,19.73,13.75,22.01,14.18,0
65.96,11.97,13.58,22.91,12.44,0
62.09,15.9,12.98,20.66,12.58,0
58.99,19.45,17.33,31.35,16.87,0
47.84,11.11,11.47,18.84,12.08,1
37.38,21.34,14.86,24.25,11.25,1
75.49,18.99,12.63,19.62,26.47,0
43.52,13.82,14.08,26.25,19.52,1
57.95,29.66,14,31.58,18.63,0
49.26,18.92,14.43,31.39,13.18,1
51.2,24.57,17.13,32.35,12.89,0
45.86,21.52,13.27,29.03,14.71,1
49.01,23.04,14.72,46.19,19.19,1
51.88,20.79,14.84,34.91,16.11,0
41.92,21.96,13.6,32.92,11.56,1
56.28,38.35,13.18,37.93,17.84,0
53.29,25.09,17.59,44.61,16.93,0
48.15,24.32,13.86,39.1,14.34,1
58.75,38.27,14.71,38.67,22.16,0
51.4,28.53,13.04,45.2,13.51,0
45.48,24.06,13.86,34.12,16.12,1
40.03,36.04,15.61,28.24,14.36,1
50.07,38.2,17.28,38.57,18.4,1
46.39,21.22,13.12,28.95,13.75,1
47.31,23.57,14.14,29.75,16.02,1
47.71,32.05,13.06,31.65,17.36,1
51.96,27.87,14.79,33.32,17.09,0
44.28,24.03,13.02,34.15,15.01,1
51.2,5.16,12.41,18.8,10.58,0
41.35,6.19,13.37,24.06,11.12,1
29.7,9.84,10.15,17.55,4.14,1
33.21,7.84,13.31,23.36,4.59,1
51.9,12.94,15.95,28.24,14.01,0
37.35,6.18,11.92,23.02,9.31,1
38.2,4.8,14.24,25.06,10.64,1
33.51,4.74,12.01,21.76,12.55,1
23.19,4.27,9.04,15.24,5.76,1
32.84,5.63,11.7,18.8,9.11,1
45.78,6.02,14.3,23.89,11.26,1
35.91,4.57,9.98,16.6,9.26,1
40.08,6.12,11.73,18.11,11.16,1
46.2,5.26,12.38,20.35,11.73,1
49.2,10.16,12.99,21.07,17.03,1
27.51,3.16,8.9,14.27,3.64,1
31.56,5.75,13.36,23.59,6.96,1
52.02,6.66,16.39,26.68,17.64,0
57.39,8.32,13.77,21.18,20.07,0
 55.91,6.78,18.11,31.98,11.21,0
56.26,6.71,14.41,22.65,18.78,0
56.44,10.42,13.07,20.51,20.58,0
53.41,10.9,14.31,22.97,11.06,0
57.07,8.56,14.87,22.94,12.23,0
55,13.98,16.67,27.5,14.44,0
56.38,10.48,11.18,17.33,9.97,0
26.69,4.36,7.8,12.67,4.66,1
33.6,6.14,11.28,18.44,4.55,1
38.79,7.42,14.22,22.37,4.48,1
48.39,8.14,17.77,27.11,8.55,1
58.15,11.84,21.09,34.02,14.98,0
51.75,6.61,16.44,27.86,12.98,0
51.45,7.66,15.33,26.67,6.86,0
46.43,10.29,12.21,18.57,8.27,1
35.71,9.4,12.36,18.17,7.93,1
52.29,7.2,15.11,23.32,10.98,0
67.72,8.04,16.29,26.69,27.8,0
57.76,5.15,12.36,21.58,25.96,0
29.23,7.93,12.09,21.61,8.12,1
20.45,4.62,9.42,15.07,2.62,1
23.58,4.4,11.07,19.41,4.28,1
29.52,4.49,11.06,19.32,5.3,1
39.77,9.41,14.5,24.93,7.66,1
44,5.39,13.75,22.92,10.6,1
48.06,3.91,12.02,20.29,10.37,1
49.84,5.74,15.52,25.52,11.97,1
49.51,5.04,14.89,24.48,10.18,1
60.69,4.57,14.34,24.7,13.8,0
42.5,4.76,13.16,21.85,9.24,1
40.8,7.17,15.11,24.27,7.8,1
52.65,6.85,15.11,25.6,10.38,0
43.61,5.78,10.57,17.6,8.24,1
47.92,11.17,13.09,22.08,9.4,1
46.91,4.89,12.95,20.93,14.62,1
53.56,5.01,15.45,26.43,17.07,0
61.28,8.95,17.25,28.55,15.78,0
46.46,6.76,12.3,18.78,14.25,1
41.63,8.5,12.07,16.48,8.56,1
53.25,13.23,13.84,22.31,14.88,0
40.15,9.88,12.99,22.45,7.78,1
41.34,9.71,11.18,18.25,9.35,1
40.38,9.81,15.08,25.96,6.6,1
46.56,5.66,15.42,25.68,7.14,1
49.84,4.83,14.71,25.2,13.17,1
53.56,8.31,14.28,23.92,13.63,0
52.91,4.81,11.48,21.36,6.9,0
36.69,3.3,12.83,22.21,3.52,1
35.58,3.65,10.1,16.34,7.95,1
41.57,4.05,14.13,26.62,13.3,1
53.01,11.92,20.7,38.35,14.26,0
67.24,9.39,25.82,45.86,19.27,0
52.77,6.33,20.06,30.7,22.84,0
59.6,4.8,14.45,24.89,23.46,0
18.66,0.86,8.91,16.2,3.29,1
29.99,8.22,12.14,21.39,2.64,1
37.34,8.76,20.99,39.58,10.28,1
54.71,9.03,18.14,34.22,19.18,0
64.48,9.24,17.3,32.87,25.18,0
64.43,4.69,18.43,38.71,27.89,0
57.38,3.64,16.8,29.97,21.51,0
38.63,5.19,15.27,29.63,7.84,1
46.72,12.81,18.16,32.05,10.74,1
54.11,10.73,23.04,43.89,11.53,0
62,8.06,24.42,51.05,18.35,0
60.69,5.3,26.72,56.49,17.83,0
72.29,7.1,25.16,58.92,19.93,0
51.18,3.61,18.57,46.44,14.52,0
44.36,1.87,15.25,30.71,6.2,1
36.73,3.02,12.44,23.15,5.65,1
50.08,4.34,15.72,33.45,12.45,0
44.53,3.26,15.12,31.26,13.12,1
52.11,4.7,14.94,35.38,15.41,0
68.6,4.94,16.56,41.08,25.11,0
49.63,15.85,18.94,43.37,18.9,1
55.34,11.52,15.67,27.32,17.1,0
53.52,7.17,17.64,38.67,14.5,0
69.48,7.32,24.75,65.86,20.89,0
71.66,10.2,28.87,81.57,19.54,0
68.88,13.42,25.09,56.85,28.74,0
51.87,10.94,19.52,46.08,15.91,0
47.14,12.89,15.12,41.1,13.08,1
47.03,34.72,12.29,30.36,14.84,1
51.82,27.86,13.89,38.64,14.75,0
43.98,23.41,15.81,47.01,13.89,1
46.03,22.29,14.06,33.24,13.13,1
53.94,31.74,13.91,36.72,17.07,0
52.45,25.03,15.53,31.25,17.23,0
57.85,29.22,17.3,43.64,17.15,0
44.7,22.15,12.93,31.78,15.86,1
44.75,18.16,14.01,27.52,11.71,1
50.19,28.52,14.86,44.11,19.54,0
59.76,40.19,14.48,32.02,24.72,0
53.2,25.6,14.21,41.64,18.55,0
51.09,38.54,13.71,38.05,20.11,0
54.31,25.19,13.19,32.09,15.52,0
45.98,15.69,9.9,28.24,13.88,1
50.04,19.03,15.77,35.67,14.8,0
47.7,24.07,13.76,37.15,12.43,1
43.32,19.44,14.59,35.16,11.87,1
42.43,22.71,13.55,33.99,12.89,1
61.54,26.25,13.82,36.69,21.02,0
49.28,27.49,15.61,36.28,18.38,1
51.66,28,15.45,53.22,17.6,0
47.64,21.33,13.9,31.05,13.79,1
64.11,32.71,13.69,34.42,20.98,0
54.91,24.21,12.74,35.05,18.76,0
48.53,32.76,13.84,43.1,16.86,1
49.69,26.86,13.68,36.04,22.78,1
43.06,25.14,12.19,20.79,14.42,1
48.32,22.37,15.06,38.95,13.05,1
55.09,26.84,13.37,30.85,16.66,0
41.5,26.07,11.96,42.07,13.85,1
53.33,23.95,16.83,40.1,15.76,0
45.2,27.76,15.06,27.5,19.95,1
47.48,31.5,19.59,48.33,16,1
43.22,23.81,13.56,32.64,15.18,1
52.52,27.2,15.35,37.41,14.23,0
52.79,23.13,12.39,30.54,16.04,0
52.2,30.48,16.33,32.99,20.02,0
44.55,28.39,16.5,41.23,15.35,1
54.31,32.72,14.22,32.85,19.64,0
40.19,27.07,12.7,33.56,14.42,1
42.91,20.86,12.04,25.77,14.25,1
51.49,16.89,13.3,34.97,14.27,0
54.35,21.6,15.78,33.97,15.84,0
51.4,25.26,14.69,38.27,17.3,0
56.83,25.41,12.81,33.36,18.43,0
63.6,25.75,14.86,33.53,18.87,0
48.01,45.08,13.77,40.18,18.45,0
52.62,20.93,13.59,30.2,16.17,0
50.66,28.62,12.39,35.36,19.05,0
47.63,34.28,12.83,24.7,16.41,1
49.02,30.83,14.2,34.04,15.44,1
53.17,39.69,11.9,34.51,21.38,0
48.73,31.73,12.98,36.36,16.34,1
46.81,17.65,13.92,32.73,13.33,1
 45.26,18.87,11.59,33.31,27.94,1
45.85,29,13.26,35.53,15.09,1
50.6,31.39,16.38,39.47,16.44,0
56.63,19.97,10.47,28.88,18.26,0
46.69,11.73,13.64,32.47,14.55,1
52.34,27.82,13.94,27.33,18.17,0
48.19,26.52,12.83,47.61,15.38,1
44.77,24.12,14.95,33.14,14.21,1
57.8,26.14,13.88,41.02,19.75,0
48.62,24.24,13.63,27.27,13.12,1
52.48,19.54,12,39.26,20.09,0
50.37,31.6,15.55,33.96,17.22,0
 61.73,25.1,14.15,36.97,24.51,0
47.9,18.01,16.02,34.67,15.33,1
64.31,24.08,11.24,25.54,20.06,0
59.39,29.92,13.11,31.9,22.97,0
40.21,31.72,13.53,38.22,16.01,1
